iter	Passed	Remaining
0	52	52430
1	57	28938
2	63	21088
3	68	17049
4	73	14688
5	79	13136
6	84	12007
7	89	11151
8	95	10511
9	100	9963
10	106	9545
11	111	9194
12	117	8926
13	123	8692
14	129	8474
15	134	8249
16	139	8066
17	145	7916
18	150	7781
19	156	7669
20	162	7564
21	166	7420
22	172	7332
23	177	7235
24	183	7161
25	189	7086
26	194	7023
27	200	6959
28	205	6882
29	211	6831
30	217	6790
31	222	6741
32	228	6700
33	234	6660
34	239	6595
35	244	6537
36	250	6507
37	255	6463
38	261	6431
39	266	6384
40	271	6340
41	275	6285
42	281	6264
43	286	6235
44	292	6214
45	298	6191
46	303	6162
47	309	6136
48	314	6097
49	319	6076
50	324	6043
51	329	6007
52	335	5988
53	340	5965
54	346	5945
55	350	5911
56	356	5891
57	361	5870
58	366	5852
59	371	5815
60	376	5789
61	381	5765
62	386	5750
63	391	5725
64	396	5706
65	402	5693
66	407	5670
67	413	5660
68	417	5639
69	423	5629
70	428	5606
71	433	5589
72	438	5569
73	443	5550
74	448	5526
75	452	5506
76	457	5489
77	463	5479
78	468	5461
79	473	5448
80	478	5423
81	483	5409
82	488	5396
83	494	5387
84	499	5377
85	504	5361
86	509	5349
87	515	5340
88	520	5327
89	525	5313
90	530	5302
91	536	5293
92	541	5280
93	546	5271
94	552	5266
95	558	5257
96	563	5244
97	568	5234
98	573	5223
99	579	5216
100	585	5209
101	590	5202
102	596	5193
103	601	5186
104	607	5180
105	613	5172
106	618	5163
107	624	5156
108	629	5148
109	635	5140
110	640	5129
111	645	5119
112	650	5105
113	655	5096
114	660	5083
115	666	5075
116	671	5067
117	676	5059
118	682	5052
119	687	5043
120	693	5034
121	698	5026
122	704	5021
123	709	5014
124	715	5006
125	720	4998
126	725	4984
127	730	4976
128	736	4969
129	741	4962
130	746	4954
131	752	4947
132	757	4935
133	761	4923
134	767	4917
135	772	4910
136	778	4903
137	784	4898
138	789	4892
139	795	4885
140	800	4878
141	806	4872
142	811	4863
143	816	4856
144	822	4849
145	827	4841
146	833	4836
147	839	4831
148	844	4824
149	850	4818
150	855	4812
151	861	4803
152	867	4801
153	872	4793
154	877	4784
155	882	4775
156	887	4764
157	892	4757
158	898	4749
159	902	4737
160	907	4728
161	912	4718
162	917	4711
163	922	4702
164	928	4696
165	933	4688
166	939	4683
167	945	4684
168	953	4689
169	959	4684
170	965	4682
171	972	4681
172	977	4674
173	982	4665
174	987	4656
175	993	4649
176	998	4643
177	1004	4636
178	1008	4627
179	1014	4620
180	1019	4614
181	1024	4605
182	1030	4599
183	1035	4591
184	1041	4586
185	1046	4578
186	1051	4570
187	1056	4564
188	1062	4558
189	1067	4549
190	1072	4543
191	1077	4534
192	1082	4527
193	1087	4519
194	1092	4510
195	1098	4505
196	1103	4499
197	1109	4493
198	1114	4484
199	1119	4478
200	1125	4472
201	1130	4465
202	1135	4459
203	1140	4450
204	1145	4443
205	1150	4433
206	1155	4426
207	1160	4420
208	1166	4415
209	1172	4408
210	1177	4402
211	1182	4395
212	1188	4390
213	1192	4381
214	1198	4376
215	1203	4369
216	1209	4362
217	1214	4356
218	1219	4347
219	1224	4340
220	1229	4332
221	1234	4326
222	1240	4321
223	1245	4315
224	1251	4309
225	1255	4300
226	1260	4292
227	1265	4284
228	1270	4278
229	1275	4270
230	1281	4264
231	1285	4256
232	1290	4248
233	1295	4241
234	1300	4232
235	1305	4225
236	1310	4220
237	1316	4214
238	1321	4208
239	1327	4202
240	1332	4196
241	1338	4191
242	1343	4185
243	1348	4177
244	1353	4169
245	1357	4161
246	1363	4156
247	1368	4150
248	1373	4142
249	1378	4136
250	1383	4128
251	1388	4122
252	1393	4114
253	1398	4107
254	1404	4102
255	1409	4096
256	1414	4090
257	1420	4083
258	1425	4078
259	1430	4072
260	1436	4066
261	1441	4060
262	1447	4055
263	1452	4049
264	1457	4041
265	1462	4036
266	1467	4029
267	1473	4023
268	1478	4016
269	1482	4009
270	1487	4002
271	1493	3996
272	1498	3991
273	1504	3985
274	1509	3980
275	1515	3975
276	1520	3969
277	1526	3963
278	1531	3958
279	1537	3952
280	1542	3947
281	1547	3939
282	1552	3933
283	1557	3927
284	1563	3921
285	1568	3916
286	1574	3911
287	1579	3905
288	1585	3901
289	1590	3894
290	1596	3889
291	1601	3882
292	1606	3876
293	1611	3870
294	1616	3864
295	1622	3858
296	1627	3853
297	1633	3847
298	1638	3841
299	1643	3835
300	1649	3830
301	1654	3824
302	1659	3817
303	1664	3811
304	1670	3806
305	1675	3799
306	1681	3794
307	1686	3789
308	1691	3781
309	1697	3777
310	1702	3772
311	1707	3765
312	1712	3758
313	1717	3751
314	1722	3746
315	1728	3741
316	1734	3737
317	1739	3731
318	1745	3725
319	1750	3719
320	1756	3715
321	1761	3709
322	1766	3702
323	1771	3696
324	1777	3691
325	1782	3685
326	1786	3677
327	1792	3672
328	1797	3666
329	1803	3661
330	1808	3654
331	1813	3648
332	1817	3640
333	1821	3633
334	1827	3627
335	1832	3621
336	1838	3616
337	1843	3610
338	1848	3605
339	1854	3599
340	1859	3593
341	1864	3586
342	1869	3580
343	1874	3575
344	1879	3568
345	1884	3562
346	1890	3557
347	1895	3551
348	1901	3546
349	1906	3540
350	1911	3534
351	1916	3527
352	1921	3522
353	1927	3517
354	1932	3511
355	1938	3506
356	1943	3500
357	1949	3495
358	1954	3489
359	1959	3484
360	1964	3477
361	1970	3472
362	1974	3465
363	1979	3458
364	1985	3453
365	1990	3447
366	1995	3441
367	2000	3434
368	2005	3429
369	2010	3423
370	2016	3418
371	2020	3411
372	2025	3403
373	2030	3398
374	2034	3391
375	2040	3385
376	2045	3380
377	2050	3374
378	2055	3368
379	2060	3362
380	2065	3356
381	2070	3349
382	2076	3344
383	2081	3339
384	2086	3333
385	2091	3326
386	2096	3320
387	2101	3315
388	2107	3309
389	2112	3304
390	2118	3299
391	2123	3293
392	2128	3287
